Membership No  Date Joined  Active  
    36121      2017-3-3     no    
    98590      2015-8-23    yes   
    50238      2020-2-6     yes   
    43958      2019-2-2     no    
    65766      2017-6-9     yes   
    53573      2018-5-2     no    
    53710      2017-7-25    no    
    79163      2018-8-11    yes   
    93737      2019-3-12    no    
    97555      2019-1-4     no    
    24129      2015-4-20    no    
    64724      2017-9-23    no    
    66802      2016-6-8     no    
    69673      2020-1-21    yes   
    61600      2016-4-21    yes   
    78980      2015-10-13   no    
    47656      2018-10-11   no    
    69885      2018-4-14    no    
    81813      2020-10-4    yes   
    90622      2015-3-6     no    
